regime,entry_lookback,exit_lookback,position_size_pct,don_final_eq,don_return_pct,don_apr_pct,don_dd_pct,don_sharpe,don_trades,trend_fast_apr_pct,trend_slow_apr_pct,best_trend_apr_pct,bh_apr_pct,don_vs_best_trend_pp,don_vs_bh_pp,runtime_s
crab,28,20,1.0,11322.551914733971,13.225519147339714,15.273953600405644,18.481505630855036,0.6352967825778655,11,4.867572183871083,57.995780881566894,57.995780881566894,68.94582616070379,-42.721827281161254,-53.67187256029814,0.024
crab,55,10,0.25,10731.815613439423,7.318156134394238,8.417872818652672,4.028179725788457,1.19146324787548,10,4.867572183871083,57.995780881566894,57.995780881566894,68.94582616070379,-49.57790806291422,-60.52795334205112,0.027
crab,55,10,0.5,11457.809330570464,14.57809330570463,16.851128587884133,7.715915006475608,1.215090923070204,10,4.867572183871083,57.995780881566894,57.995780881566894,68.94582616070379,-41.14465229368276,-52.094697572819655,0.027
crab,55,10,1.0,12883.980067218,28.839800672180015,33.63978827695418,14.264217481735658,1.2538516344670245,10,4.867572183871083,57.995780881566894,57.995780881566894,68.94582616070379,-24.355992604612716,-35.30603788374961,0.03
crab,55,12,0.25,10614.789309027965,6.147893090279655,7.066027286578858,5.017260460777042,0.9996983620505872,10,4.867572183871083,57.995780881566894,57.995780881566894,68.94582616070379,-50.929753594988036,-61.87979887412493,0.031
crab,55,12,0.5,11215.060977100959,12.150609771009591,14.022487350843083,9.560346711260548,1.0223482162167226,10,4.867572183871083,57.995780881566894,57.995780881566894,68.94582616070379,-43.97329353072381,-54.92333880986071,0.031
crab,55,12,1.0,12367.332254138575,23.673322541385744,27.525220232609993,17.495242773833738,1.0600715458047878,10,4.867572183871083,57.995780881566894,57.995780881566894,68.94582616070379,-30.4705606489569,-41.42060592809379,0.03
crab,55,20,0.25,10499.89889469442,4.998988946944194,5.740945873946157,5.380745005433695,0.7843153219425818,8,4.867572183871083,57.995780881566894,57.995780881566894,68.94582616070379,-52.254835007620734,-63.20488028675763,0.032
crab,55,20,0.5,10986.117783761914,9.86117783761915,11.362795016598092,10.179696406787036,0.8124741056734717,8,4.867572183871083,57.995780881566894,57.995780881566894,68.94582616070379,-46.6329858649688,-57.583031144105696,0.029
crab,55,20,1.0,11911.639865889676,19.11639865889676,22.16254054463187,18.48150563085503,0.8600716333675767,8,4.867572183871083,57.995780881566894,57.995780881566894,68.94582616070379,-35.83324033693502,-46.78328561607192,0.029
crash,20,10,0.25,9943.753721654568,-0.5624627834543205,-4.476048498538554,2.532234818198822,-0.6773190445243649,2,143.05208863052007,0.0,143.05208863052007,-83.1342760242703,-147.52813712905862,78.65822752573175,0.003
crash,20,10,0.5,9887.507443309134,-1.1249255669086633,-8.775446692516653,4.966095557307678,-0.6533529761208667,2,143.05208863052007,0.0,143.05208863052007,-83.1342760242703,-151.82753532303673,74.35882933175365,0.003
crash,20,10,1.0,9775.014886618268,-2.2498511338173155,-16.86822253797101,9.56076754220479,-0.6066005282693983,2,143.05208863052007,0.0,143.05208863052007,-83.1342760242703,-159.92031116849108,66.2660534862993,0.003
crash,20,12,0.25,10001.007683301304,0.010076833013039632,0.08183941080559531,2.8588348280223346,0.046445377192846984,1,143.05208863052007,0.0,143.05208863052007,-83.1342760242703,-142.97024921971447,83.2161154350759,0.004
crash,20,12,0.5,10002.015366602609,0.020153666026079264,0.1637375428046539,5.606607584922407,0.08072174177424608,1,143.05208863052007,0.0,143.05208863052007,-83.1342760242703,-142.88835108771542,83.29801356707496,0.004
crash,20,12,1.0,10004.030733205218,0.04030733205218073,0.32771011524630467,10.79388650525,0.14813877864972608,1,143.05208863052007,0.0,143.05208863052007,-83.1342760242703,-142.72437851527377,83.46198613951661,0.003
crash,20,20,0.25,10001.007683301304,0.010076833013039632,0.08183941080559531,2.8588348280223346,0.046445377192846984,1,143.05208863052007,0.0,143.05208863052007,-83.1342760242703,-142.97024921971447,83.2161154350759,0.003
crash,20,20,0.5,10002.015366602609,0.020153666026079264,0.1637375428046539,5.606607584922407,0.08072174177424608,1,143.05208863052007,0.0,143.05208863052007,-83.1342760242703,-142.88835108771542,83.29801356707496,0.003
crash,20,20,1.0,10004.030733205218,0.04030733205218073,0.32771011524630467,10.79388650525,0.14813877864972608,1,143.05208863052007,0.0,143.05208863052007,-83.1342760242703,-142.72437851527377,83.46198613951661,0.004
crash,28,10,0.25,10000.0,0.0,0.0,0.0,0.0,0,143.05208863052007,0.0,143.05208863052007,-83.1342760242703,-143.05208863052007,83.1342760242703,0.004
crash,28,10,0.5,10000.0,0.0,0.0,0.0,0.0,0,143.05208863052007,0.0,143.05208863052007,-83.1342760242703,-143.05208863052007,83.1342760242703,0.003
crash,28,10,1.0,10000.0,0.0,0.0,0.0,0.0,0,143.05208863052007,0.0,143.05208863052007,-83.1342760242703,-143.05208863052007,83.1342760242703,0.003
crash,28,12,0.25,10000.0,0.0,0.0,0.0,0.0,0,143.05208863052007,0.0,143.05208863052007,-83.1342760242703,-143.05208863052007,83.1342760242703,0.004
crash,28,12,0.5,10000.0,0.0,0.0,0.0,0.0,0,143.05208863052007,0.0,143.05208863052007,-83.1342760242703,-143.05208863052007,83.1342760242703,0.004
crash,28,12,1.0,10000.0,0.0,0.0,0.0,0.0,0,143.05208863052007,0.0,143.05208863052007,-83.1342760242703,-143.05208863052007,83.1342760242703,0.003
crash,28,20,0.25,10000.0,0.0,0.0,0.0,0.0,0,143.05208863052007,0.0,143.05208863052007,-83.1342760242703,-143.05208863052007,83.1342760242703,0.003
crash,28,20,0.5,10000.0,0.0,0.0,0.0,0.0,0,143.05208863052007,0.0,143.05208863052007,-83.1342760242703,-143.05208863052007,83.1342760242703,0.004
crash,28,20,1.0,10000.0,0.0,0.0,0.0,0.0,0,143.05208863052007,0.0,143.05208863052007,-83.1342760242703,-143.05208863052007,83.1342760242703,0.004
crash,55,10,0.25,10000.0,0.0,0.0,0.0,0.0,0,143.05208863052007,0.0,143.05208863052007,-83.1342760242703,-143.05208863052007,83.1342760242703,0.004
crash,55,10,0.5,10000.0,0.0,0.0,0.0,0.0,0,143.05208863052007,0.0,143.05208863052007,-83.1342760242703,-143.05208863052007,83.1342760242703,0.004
crash,55,10,1.0,10000.0,0.0,0.0,0.0,0.0,0,143.05208863052007,0.0,143.05208863052007,-83.1342760242703,-143.05208863052007,83.1342760242703,0.004
crash,55,12,0.25,10000.0,0.0,0.0,0.0,0.0,0,143.05208863052007,0.0,143.05208863052007,-83.1342760242703,-143.05208863052007,83.1342760242703,0.005
crash,55,12,0.5,10000.0,0.0,0.0,0.0,0.0,0,143.05208863052007,0.0,143.05208863052007,-83.1342760242703,-143.05208863052007,83.1342760242703,0.004
crash,55,12,1.0,10000.0,0.0,0.0,0.0,0.0,0,143.05208863052007,0.0,143.05208863052007,-83.1342760242703,-143.05208863052007,83.1342760242703,0.004
crash,55,20,0.25,10000.0,0.0,0.0,0.0,0.0,0,143.05208863052007,0.0,143.05208863052007,-83.1342760242703,-143.05208863052007,83.1342760242703,0.004
crash,55,20,0.5,10000.0,0.0,0.0,0.0,0.0,0,143.05208863052007,0.0,143.05208863052007,-83.1342760242703,-143.05208863052007,83.1342760242703,0.005
crash,55,20,1.0,10000.0,0.0,0.0,0.0,0.0,0,143.05208863052007,0.0,143.05208863052007,-83.1342760242703,-143.05208863052007,83.1342760242703,0.005
