regime,rsi_threshold,dip_multiplier,max_dip_buys_per_week,base_size_pct,smart_final_eq,smart_return_pct,smart_apr_pct,smart_dd_pct,smart_sharpe,smart_trades,smart_2x_buys,smart_weeks_sat,smart_cost_basis,smart_btc,smart_cash_left,dca_final_eq,dca_cost_basis,dca_btc,bh_final_eq,smart_vs_dca_pp,smart_vs_bh_pp,cb_improvement_pct,runtime_s
bull,35,2.0,5,0.005,26408.65676590342,164.0865676590342,511.9738980920726,23.228275927660928,3.2712733655689967,196,3,0,23752.024265354932,0.4186603166494956,50.0,54009.75587591526,11650.07196599067,0.8578487780311458,58325.36552633189,-51.10391384368409,-54.721832383577905,-103.87877718431902,0.006
bull,35,2.0,5,0.01,38926.74918060718,289.26749180607175,1161.9993487496665,28.76871375662689,3.6110732584114107,100,0,0,16164.143065238759,0.618282080260243,0.0,54009.75587591526,11650.07196599067,0.8578487780311458,58325.36552633189,-27.92644856599712,-33.25931380055715,-38.74715205559018,0.006
bull,35,2.0,5,0.015,45159.05165712302,351.5905165712302,1564.8394240704831,28.768713756626894,3.8483308415567796,67,0,0,13933.36484560017,0.7172711050594409,0.0,54009.75587591526,11650.07196599067,0.8578487780311458,58325.36552633189,-16.387232408763886,-22.57390716782518,-19.59895944226761,0.006
bull,35,3.0,2,0.005,26551.842363854605,165.51842363854604,518.1780068928814,23.400855639846018,3.272537367940236,194,3,1,23697.698042850792,0.42172872579980514,0.0,54009.75587591526,11650.07196599067,0.8578487780311458,58325.36552633189,-50.83880322500226,-54.47633782617724,-103.41246055844124,0.006
bull,35,3.0,2,0.01,38926.74918060718,289.26749180607175,1161.9993487496665,28.76871375662689,3.6110732584114107,100,0,0,16164.143065238759,0.618282080260243,0.0,54009.75587591526,11650.07196599067,0.8578487780311458,58325.36552633189,-27.92644856599712,-33.25931380055715,-38.74715205559018,0.006
bull,35,3.0,2,0.015,45159.05165712302,351.5905165712302,1564.8394240704831,28.768713756626894,3.8483308415567796,67,0,0,13933.36484560017,0.7172711050594409,0.0,54009.75587591526,11650.07196599067,0.8578487780311458,58325.36552633189,-16.387232408763886,-22.57390716782518,-19.59895944226761,0.006
bull,35,3.0,3,0.005,26551.842363854605,165.51842363854604,518.1780068928814,23.400855639846018,3.272537367940236,194,3,0,23697.698042850792,0.42172872579980514,0.0,54009.75587591526,11650.07196599067,0.8578487780311458,58325.36552633189,-50.83880322500226,-54.47633782617724,-103.41246055844124,0.006
bull,35,3.0,3,0.01,38926.74918060718,289.26749180607175,1161.9993487496665,28.76871375662689,3.6110732584114107,100,0,0,16164.143065238759,0.618282080260243,0.0,54009.75587591526,11650.07196599067,0.8578487780311458,58325.36552633189,-27.92644856599712,-33.25931380055715,-38.74715205559018,0.006
bull,35,3.0,3,0.015,45159.05165712302,351.5905165712302,1564.8394240704831,28.768713756626894,3.8483308415567796,67,0,0,13933.36484560017,0.7172711050594409,0.0,54009.75587591526,11650.07196599067,0.8578487780311458,58325.36552633189,-16.387232408763886,-22.57390716782518,-19.59895944226761,0.006
bull,35,3.0,5,0.005,26551.842363854605,165.51842363854604,518.1780068928814,23.400855639846018,3.272537367940236,194,3,0,23697.698042850792,0.42172872579980514,0.0,54009.75587591526,11650.07196599067,0.8578487780311458,58325.36552633189,-50.83880322500226,-54.47633782617724,-103.41246055844124,0.006
bull,35,3.0,5,0.01,38926.74918060718,289.26749180607175,1161.9993487496665,28.76871375662689,3.6110732584114107,100,0,0,16164.143065238759,0.618282080260243,0.0,54009.75587591526,11650.07196599067,0.8578487780311458,58325.36552633189,-27.92644856599712,-33.25931380055715,-38.74715205559018,0.006
bull,35,3.0,5,0.015,45159.05165712302,351.5905165712302,1564.8394240704831,28.768713756626894,3.8483308415567796,67,0,0,13933.36484560017,0.7172711050594409,0.0,54009.75587591526,11650.07196599067,0.8578487780311458,58325.36552633189,-16.387232408763886,-22.57390716782518,-19.59895944226761,0.006
bull,40,1.5,2,0.005,26499.91473065457,164.9991473065457,515.924672087083,23.20972743398675,3.277421380464806,196,7,3,23707.13958282244,0.4205068673583582,25.0,54009.75587591526,11650.07196599067,0.8578487780311458,58325.36552633189,-50.934948138745874,-54.56536878677465,-103.49350331937192,0.006
bull,40,1.5,2,0.01,39143.51672741964,291.43516727419643,1175.1402824362788,28.76871375662689,3.6211542332359516,100,1,0,16074.62986020465,0.6217250466675918,0.0,54009.75587591526,11650.07196599067,0.8578487780311458,58325.36552633189,-27.52509969245198,-32.88766152738864,-37.9788031106616,0.006
bull,40,1.5,2,0.015,45361.65407833667,353.6165407833667,1578.7995810644998,28.7687137566269,3.8561831981608936,67,1,0,13871.133132257071,0.7204890836754447,0.0,54009.75587591526,11650.07196599067,0.8578487780311458,58325.36552633189,-16.01211051101059,-22.226541284413457,-19.064784945107697,0.006
bull,40,1.5,3,0.005,26551.128117801116,165.51128117801116,518.1469871851835,23.266938285644674,3.278038459040064,195,10,3,23698.33552940988,0.4217173812733532,0.0,54009.75587591526,11650.07196599067,0.8578487780311458,58325.36552633189,-50.8401256639615,-54.47756241525104,-103.41793251227078,0.006
bull,40,1.5,3,0.01,39143.51672741964,291.43516727419643,1175.1402824362788,28.76871375662689,3.6211542332359516,100,1,0,16074.62986020465,0.6217250466675918,0.0,54009.75587591526,11650.07196599067,0.8578487780311458,58325.36552633189,-27.52509969245198,-32.88766152738864,-37.9788031106616,0.006
bull,40,1.5,3,0.015,45361.65407833667,353.6165407833667,1578.7995810644998,28.7687137566269,3.8561831981608936,67,1,0,13871.133132257071,0.7204890836754447,0.0,54009.75587591526,11650.07196599067,0.8578487780311458,58325.36552633189,-16.01211051101059,-22.226541284413457,-19.064784945107697,0.006
bull,40,1.5,5,0.005,26575.85297022813,165.75852970228132,519.2212077421734,23.295760883958554,3.2782672868715235,195,11,0,23676.287776158577,0.4221100915179661,0.0,54009.75587591526,11650.07196599067,0.8578487780311458,58325.36552633189,-50.79434717075034,-54.435171163685126,-103.22868258046208,0.006
bull,40,1.5,5,0.01,39143.51672741964,291.43516727419643,1175.1402824362788,28.76871375662689,3.6211542332359516,100,1,0,16074.62986020465,0.6217250466675918,0.0,54009.75587591526,11650.07196599067,0.8578487780311458,58325.36552633189,-27.52509969245198,-32.88766152738864,-37.9788031106616,0.006
